,drug,drug_name
174,PRET12,Prenarpil Tab 2 mg                                
175,ATOT02,*(d) Atorvastatin Tab 40 mg (SANDOZ FCT)
176,DEPT03,Depakine Chrono CR Tab 500 mg                     
177,DEPT01,Depakine Tab 200 mg                               
180,DOUT01,Douzabox Tab (Vitamin B1-6-12 )                   
181,CONT05,Concerta Tab 18 mg *HAD*                          
185,NICT03,Nicotinic acid Tab 50 mg                          
188,TERE02,*(d) Terramycin Opht Oint () 3.5 gm
193,AMOT08,*(d) Amoxicillin Cap 500 mg (GPO MOX)
194,MUCL03,*(d) Mucotic Sachet 200 mg
200,ZEFI02,*(d) Zefa Inj. 1gm
209,CLOI05,*(d) Cloxgen Inj 1 gm (GDH)
211,NSSI02,NSS 100 ml  (I.V.)                                
214,RANL02,*(d) Ranclav BID 457mg/5ml (70ml)
221,BERL01,*(d) Beramol*SYR*60 ml (120mg/5ml)
242,FENT03,Fenafex Tab 180 mg                        
248,NSSIX1,*(d) NSS for Irrigation 1000 ml
250,MADT03,*(d) Madiplot Tab 20 mg
251,DOST02,Dosanac Tab 50 mg                                 
252,PROT12,Prograf Cap 1 mg                                  
254,MAGT03,Magoral Cap 140 mg                                
256,LORT03,LoRANTA Tab 50 mg                                 
258,PRET05,Prednisolone Tab 5 mg (Predsomed)                 
260,MYFT02,Myfortic Tab 360 mg                               
262,ISOT04,Isoptin SR Tab 240 mg                             
266,SUR006,Surfit flexible flange 45mm                       
267,GLUT08,GlucoCRON Tab 80 mg                               
270,DEXT02,Dextromethorphan Tab 15 mg                        
271,SUR003,Surfit drainable pouch 45mm [colostomy]           
272,BEST02,Bestatin TAB   40   MG.                           
275,COSE01,Cosopt Eye Drops 5 ml                             
276,LANE01,Lanotan Eye Drop 0.005% (2.5ml)                   
277,TEAE02,Tears Naturale Free ED0.8m l(32s)  
278,MORI01,*(d) Morphine Sulfate Inj 10 mg *HAD*
283,APRT03,ApreSOLIN Tab 25 mg                               
285,SYI100,*(d) Syringe Insulin 1 ml
287,TEET04,Teevir Tab (  B24)  (300/600/200mg)      
288,AMLT02,AmLOpine   *TAB    10   MG                        
302,MAGI04,*(d) Magfifty 50% Inj 2 ml *HAD*
303,KLOT01,*(d) Kloramin Tab 4 mg (CPM)
304,ZYNE01,*(d) Zyno 0.02% Cream -5 gm
305,CHLI04,*(d) Chlorpheniramine Inj 10 mg/ml (G.P.O)
306,DOST01,*(d) Dosanac Tab 25 mg
313,DIAI02,*(d) Diazepam Inj 10 mg
327,GPOT11,*(d) GPO-A-Flu Cap 75 mg
328,POTL_3,*(d) Potassium Cl.(conc) 30 ml Mixt
329,ASME01,*(d) Asmasal SDU (2.5 mg / 2.5 ml)
330,INHE01,*(d) Inhalex Forte Solution 4 ml
333,MONT05,*(d) Montek Tab 10 mg
335,BEST01,*(d) Bestatin Tab 20 mg
336,SYME01,*(d) Symbicort(160/4.5) Turbuhaler
337,AZYT01,*(d) Azycin Cap 250 mg
338,CEFI05,*(d) Cef-3 Inj 1 g
350,BELL01,*(d) Belcid Suspension 240 ml
351,CARL01,*(d) Carminative Mixture 180 ml (G.P.O)
352,HART02,*(d) Hartsorb Sublingual Tab 5 mg ( ISDN )
363,NAVT01,*(d) Navamin Tab 50 mg
424,AIRT01,*(d) Air-X Tab
426,ZYNE03,*(d) Zyno Cream 0.1% -15 GM
427,HYDT05,*(d) Hydroxyzine-FC 10 mg ( Hizin)
435,ANTT03,*(d) Anta Tab 0.5 mg
442,VENE03,*(d) **Ventolin EVOHALER 200 doses
444,TRIE02,*(d) Trinolone Oral Paste 5 g
446,NORT16,*(d) Norfloxacin 400 mg Tab
448,PSET02,*(d) Pseudoephedrine F/C Tab 60 mg *HAD*
449,FENT02,*(d) Fenafex Tab 60 mg
464,MEDT03,*(d) Multivitamin Tab ( Medicvit )
475,HISE01,*(d) Hista-Oph Eye Drops10 ml
477,AMLT02,*(d) AmLOpine *TAB 10 MG
485,AMIT02,*(d) AmiTRIPtyline Tab 10 mg
493,LORT03,*(d) LoRANTA Tab 50 mg
509,AMLT01,*(d) AmLOpine Tab 5 mg                    
511,ANAT03,*(d) ANapril Tab 5 mg
513,PRET12,*(d) Prenarpil Tab 2 mg
515,DIST03,*(d) Disol Tab 8 mg
523,FERT01,*(d) FerLi - 6 Tab
530,CURT01,*(d) Curmin 350 mg Cap ()
531,DOUT01,*(d) Douzabox Tab (Vitamin B1-6-12 )
532,TEGT02,*(d) TEGRETOL CR Tab 200 mg
539,METEX5,*(d) Methylsalicylate Oint () 30 gm
541,AMBT01,*(d) Ambufen Tab 400 mg
543,APRT03,*(d) ApreSOLIN Tab 25 mg
546,ULST02,*(d) Ulsanic Tab 1 g
551,LORT04,*(d) Lorita Tab 10 mg ()
552,CANE02,*(d) Canesten Cream 20 g
554,DILT01,*(d) Dilantin Kapseal 100 mg
559,BERT02,*(d) Hyles Tab 25 mg(Spironolactone)
560,DEXE01,*(d) Dexoph Eye Drops 4 ml
562,TETI01,*(d) Tetanus Toxoid 0.5 ml
575,D5SI03,D-5-S/2  500 ml                                   
576,ZERT03,*(d) Zertine Tab 10 mg
583,MAWT01,*(d) Ma-waeng Lozenge ( 1  20 )
585,DEXT02,*(d) Dextromethorphan Tab 15 mg
601,NAUI01,*(d) Nausil INJECTION 10mg/2ml
607,PHAI01,*(d) Pharmadol Inj 50 mg
609,LANT01,*(d) Digoxin Tab 0.25 mg *HAD*
624,VULT01,*(d) Vultin Cap 100 mg ( Gabapentin)
628,NATE01,*(d) Natear Eye Drops 0.3% 10 ml
630,SYR020,Syringe 20 ml disposable                          
636,LORT05,*(d) LoRANTA Tab 100 mg
638,LANT01,*(d) Digoxin Tab 0.25 mg *HAD*            
642,MEFT01,*(d) Mefec Tab 250 mg
644,ELA004,"*(d) Elastic Bandage 4""x5yds"
650,NEOE04,*(d) Neotica Balm 25 gm ()
656,BCOT01,*(d) B CO-ED Tab (Vitamin B Complex)
658,STET01,*(d) Stei Tab 16 mg
659,MAGT03,*(d) Magoral Cap 140 mg
660,POTL_2,*(d) Potassium Cl.(conc) 60 ml Mixt
664,SALT05,*(d) Salbutac Tab 2 mg
668,TOPT02,*(d) Topamax Tab 100 mg
671,PART08,*(d) Para Tab 325 mg (325-Orange)
675,MAFT03,*(d) Maforan Tab 5 mg *HAD* 
679,MAFT02,*(d) Maforan Tab 3mg *HAD*
681,FENT03,Fenafex Tab 180 mg                                
684,MAFT03,Maforan Tab 5 mg *HAD*                      
690,MAFT02,*(d) Maforan Tab 3mg *HAD*       
692,ZERT03,Zertine Tab 10 mg                                 
693,TEAE02,Tears Naturale Free ED0.8m l(32s)          
694,PRET14,Prenolol Tab 25 mg                                
696,PEME01,Pemirox Eye Drops 5 ml                            
697,TOBE04,*(d) ToBramycin Eye Drops 5 ml
699,PRET06,*(d) Prenolol Tab 50 mg
705,MILL01,*(d) Milk of Magnesia 240 ml
710,SENT02,*(d) Senolax Tab
717,TIME03,TimoDROP ED 5mg/ml  (5 ml)                        
719,ANTT03,Anta Tab 0.5 mg                                   
722,FURT01,*(d) FuroSemide Tab 40 mg
724,CORT07,*(d) CoROdil Tab 10 mg (ISDN)
726,BEST02,*(d) Bestatin TAB 40 MG.
730,ASPT01,*(d) Aspent-M Tab 81 mg
735,MART01,*(d) Marvelon-28
736,PROT06,*(d) Provera Tab 5 mg
737,MAFT04,*(d) Maforan Tab 2 mg *HAD* 
752,CART09,*(d) Caraten Tab 6.25 mg
762,TOLT01,*(d) Tolchicine Tab 0.6mg
767,XANT07,*(d) Xandase Tab 300mg
782,CLEI02,*(d) Clexane Inj 60 mg/0.6 ml
787,TUSLX1,*(d) Tussis Mixt 120 ml
796,TRAT07,Trazodel Tab 50 mg                                
803,CRAE01,*(d) Cravit Eye Drops 0.5% 5 ml
806,SERT15,Sertraline Sandoz Tab 50mg                        
830,EZET02,*(d) Ezetimibe (sandoz) Tab 10 mg
834,FUCE02,*(d) Fucithalmic Eye Drops 5 g
835,ASTT01,Astair Tab 10mg                                   
836,LORT04,Lorita Tab 10 mg ()                         
837,AVAE01,Avamys nasal spray 120 ds (27.5 mcg/puff)         
838,SYME01,Symbicort(160/4.5) Turbuhaler                     
839,CORT07,CoROdil Tab 10 mg  (ISDN)                         
841,CART09,Caraten Tab 6.25 mg                               
845,AMLT01,AmLOpine   Tab     5   mg                         
847,ASPT01,Aspent-M Tab 81 mg                                
849,FOLT02,*(d) Folivit Tab 5 mg
851,CART08,*(d) Caraten-25 Tab
858,CLOT07,Clopidogrel Tab 75 mg (NHSO/)                 
861,TEAE02,*(d) Tears Naturale Free ED0.8m l(32s)
876,MIXI03,Mixtard (penfill)  30 HM 300u/3 ml (30/70)        
879,VITT10,"Vitamin D2 Cap 20,000 u                           "
885,METT01,Metformin Tab 850 mg                              
888,ALCE02,ALCOHOL 70% 240 ML                                
891,VULT01,Vultin Cap 100 mg ( Gabapentin)                
894,MECT01,Mecoba Tablet  500 mcg                            
897,SENT02,Senolax Tab                                       
900,MADT03,Madiplot Tab 20 mg                                
903,PRET06,Prenolol Tab 50 mg                                
906,STET01,Stei Tab 16 mg                                    
920,MUCL02,Mucilin SF 5 g                                    
921,DUST01,Duspatin Tab 135 mg                               
922,AIRT01,Air-X Tab                                         
923,MIRT02,Miracid Cap 20 mg(Omeprazole)                     
924,MOTT02,Domperidone Tab 10 mg ( Motidom-M )               
925,TONT01,*(d) Tonafil Tab 100 mg
927,NASE01,*(d) NasaCORT nasal spray 55 mcg/dose (120 doses)
937,MAFT03,*(d) Maforan Tab 5 mg *HAD*         
939,FBCT01,*(d) FBC Tab
945,APOT01,*(d) Apolets Tab 75 mg
951,MAGI04,Magfifty 50% Inj  2 ml *HAD*                      
962,CART08,*(d) Caraten-25 Tab                       
971,CART09,*(d) Caraten Tab 6.25 mg                  
972,ANAT03,*(d) ANapril Tab 5 mg                     
975,SERT15,*(d) Sertraline Sandoz Tab 50mg
982,EUTT01,Euthyrox Tab 50 mcg                               
988,MEDT02,*(d) Meditic Tab ( Uretic)
998,XYLLX2,*(d) Xylocaine Viscous 120 ml
1010,BERT01,*(d) Beramol Tab 500 mg                   
1012,TUSLX1,*(d) Tussis Mixt 120 ml                   
1014,XYLLX2,*(d) Xylocaine Viscous 120 ml             
1016,AMOT08,*(d) Amoxicillin Cap 500 mg (GPO MOX)     
1030,SIAT01,*(d) Siamformet Tab 500 mg ()
1034,CART12,*(d) CarDEloc Tab 100 mg
1036,SUGT01,*(d) Sugril Tab 5 mg
1040,URST02,*(d) Ursolin Cap 250 mg
1046,AMLT02,*(d) AmLOpine *TAB 10 MG                  
1051,DIVI01,*(d) Divomit Inj 50 mg/ml
1062,XANT08,*(d) Xandase Tab 100mg
1068,HYPT02,Hypercor Tab 5 mg                                 
1072,PLAT07,Platogrix Tab 75 mg                               
1077,ATOT02,Atorvastatin Tab 40 mg (SANDOZ FCT)               
1083,DOSI01,*(d) Dosanac Inj 75 mg/3 ml
1100,QUAT02,*(d) Quantia Tab 200mg
1107,ITRT02,Itracon Cap 100 mg                                
1112,TOBE04,ToBramycin Eye Drops 5 ml                         
1117,SWIL02,*(d) Swiff Sol 45 ml
1120,TARE01,*(d) Tarivid Otic Sol 5 ml
1122,TENT04,*(d) Ricovir Tab 300 mg for HBV (Tenofovir )
1145,PROE03,*(d) Proctosedyl Suppo
1151,CELT01,Cellcept Cap 250 mg                               
1153,FERT01,FerLi - 6   Tab                                   
1154,BERT02,Hyles Tab 25 mg(Spironolactone)                   
1158,CIPT06,Cipol-N 100mg soft capsule                        
1170,LAMT05,*(d) Lamivudine Tab 150 mg (LAMIVIR)
1174,PHET02,*(d) PhenobarbiTone Tab 60 Mg
1193,HIDT01,Hidil Cap 300 mg                                  
1199,HIZT02,*(d) Hizin Tab 25 mg
1202,LIDI01,*(d) Lidocaine HCl Inj 1% 20 ml
1214,FLUT06,Flucozole Cap 50 mg                               
1216,APOT01,Apolets Tab 75 mg                                 
1266,NSSI01,NSS 1000 ml (Injection)                           
1268,ZYNE02,*(d) Zyno Cream 0.1%-5 gm
1269,CERT01,*(d) Cerebroad Tab 25 mg
1279,BETE03,*(d) Betnovate Scalp Lotion 30 ml
1287,URST02,Ursolin Cap 250 mg                                
1296,FOLT02,Folivit Tab 5 mg                                  
1297,FBCT01,FBC Tab                                           
1312,PRET11,*(d) Prenarpil Tab 0.5 mg
1313,DEPT03,*(d) Depakine Chrono CR Tab 500 mg
1318,HCTT01,HCTZ Tab 25 mg (Blister) (T.O)                    
1338,NOVI03,NovoRapid penfill  (300 U/3 ml)                   
1344,ADRT02,Advagraf Cap 1 mg                                 
1346,BENT04,Benarone Tab 100 mg                               
1352,FLUT05,Flucozole  CAP.  200   MG.                        
1354,ANAT05,ANapril *TAB. 20 MG.                              
1356,AZAT01,AZAthioprine Tab 50 mg                            
1358,LANI03,Lantus Inj 100 iu/ml  3 ml (pen)                  
1362,TRAI06,Trastuzumab Inj. 440 mg /20ml () ED(2)       
1367,ORKT01,Orkelax Tab                                       
1370,LANE01,*(d) Lanotan Eye Drop 0.005% (2.5ml)
1372,CAVL01,*(d) Cavumox ES 642.9mg/5ml
1376,TRCI01,*(d) TRCS Verorab Inj 0.5 ml
1378,PRET03,*(d) Prenolol Tab 100 mg
1380,VITT05,Vitamin B6 Tab 10 mg                              
1381,CART11,CarDOXA  Tab 4 mg                                 
1382,BERT03,Hyles *TAB* 100 MG.                               
1385,INTT02,Intacape Tab 500 mg (X)I0031 *HAD*                
1394,CLEI02,Clexane Inj  60  mg/0.6  ml                       
1395,ADRT01,Advagraf Cap 0.5 mg                               
1418,CELT09,Cellcept FCT 500 mg                               
1436,CART12,CarDEloc Tab 100 mg                               
1438,KANI03,*(d) Kanolone *F Inj 40 mg/ml
1452,BETT06,Betalol Tab 10 mg (Propranolol)                   
1455,VIDE01,Vidisic Gel 10 g                                  
1464,ZINT02,Zincaps 110 mg                                    
1466,EUTT02,Euthyrox Tab 100 mcg                              
1476,TEAE02,Tears Naturale Free ED0.8m l(32s)
1493,BELL01,Belcid Suspension 240 ml                          
1495,AZYT01,Azycin Cap 250 mg                                 
1514,CERT02,Certican Tab  0.25  mg                            
1518,CERT03,Certican Tab  0.5  mg                             
1549,TENT12,Tenofovir (G.P.O) Tab 300 mg                      
1558,SERE05,Seretide Accuhaler (50/250)                       
1592,DURE01,Duratears Eye Oint 3.5 g                          
1620,ZANT01,Lercadip Tab 20 mg                                
1633,PROT16,Prograf Cap 0.5 mg                                
1637,MAFT02,Maforan Tab 3mg *HAD*                    
1671,PLAE01,Plaivana Cream 35 gm                              
1692,MAFT05,*(d) Maforan Tab 4 mg *HAD* 
1694,MILL01,Milk of Magnesia 240 ml                           
1695,BETT06,*(d) Betalol Tab 10 mg (Propranolol)
1696,TIMT01,*(d) Timazol Tab 5 mg
1703,METH01,Methylprednisolone Eye Drop 1%(10ml)              
1705,ADEI01,Adenocor IV 6 mg/2 ml                             
1707,CYCH02,1%Cyclosporin Eye Drop 1% (10ml)                  
1709,GAVL01,Gaviscon Liquid 10 ml                             
1714,NASE02,NaSONEX  0.05% nasal spray  (140 doses)           
1723,CHLE03,Chlor-Oph Eye Ointment 5 g                        
1726,TERE02,Terramycin Opht Oint () 3.5 gm            
1729,SODEX1,Sodium Chloride 5% EYE Drop                       
1733,MUCL02,*(d) Mucilin SF 5 g
1734,DAFT03,*(d) Dafomin Tab 500 mg
1735,MORT01,Morphine TAB* 10 mg  immediate-release *HAD*      
1742,TIMT01,Timazol Tab 5 mg                                  
1743,MSOCSTRB,Ocu. Foam [015718103509] 50 ml /TRB               
1746,SYR006,*(d) Syringe 5 ml disposable
1748,QUAT01,*(d) Quantia Tab 25 mg
1752,DOXT01,*(d) Doxyclate Cap 100 mg
1754,METT11,*(d) METROcide Tab 200mg
1764,CLOE01,*(d) Clobet Cream 10 g
1766,TEG001,Tegaderm I.V. 6 x 7 cm  (1623W)                   
1768,NSSI07,NSS 500 ml  (I.V.)                                
1773,IBUT01,*(d) Ibrofen FC Tab 200 mg
1775,METH01,*(d) Methylprednisolone Eye Drop 1%(10ml)
1780,TOBE02,TobraDex Eye Drops 5 ml                           
1784,LODI01,"Lodexa-5 Inj. 5mg ( Dexamethasone Inj,Dexa Inj)"
1808,MYFT01,Myfortic Tab 180 mg                               
1821,JEVI06,*(d) **Jevac (JE vaccine) 1 dose
1827,PRET03,Prenolol Tab 100 mg                               
1842,CLAT05,Claron Tab 500 mg                                 
1843,IMPT01,Impelium Cap 2mg  (Generic Imodium)               
1845,MUCL03,Mucotic Sachet 200 mg
1849,SERE04,Seretide Accuhaler (50/100)                       
1850,BEST03,Besmal Tab 524 mg                                 
1870,DIPT02,Diphenhydramine Cap 25 mg                         
1874,CART10,CarDOXA  Tab 2 mg                                 
1876,MYFT02,Myfortic Tab 360 mg
1887,TUMT01,*(d) Tumax Tab
1899,JEVI06,*(d) **Jevac (JE vaccine) 1 dose          
1916,OPS001,Opsite Flexigrid 6 x 7cm                          
1925,LETT02,Letrozole Tab. 2.5mg () ED(2)                 
1927,PREI06,*(d) Prevnar 13 Inj 0.5 ml
1930,TRAT07,*(d) Trazodel Tab 50 mg
1931,CODT05,CodiGESIC Tab                                     
1933,PREI06,*(d) Prevnar 13 Inj 0.5 ml                
1941,GABT03,Gabapentin Cap 300 mg (G.P.O.)                    
1946,MONT04,Monolin  20  SR  cap                              
1952,KAPT02,Kapanol Cap    50  mg *HAD*                       
1956,DOST01,Dosanac Tab 25 mg                                 
1976,FIBT01,Fibril Cap 160 mg                                 
1982,KEMI02,Kemocarb Inj 450 mg/45 ml  (X)K0002*Chemo* *HAD*  
2014,ONET02,One-Alpha Cap    1   mcg                          
2032,INTI18,Intaxel Inj 300 mg/50 ml(X)I0019*Chemo* *HAD*     
2034,HEMI08,Hema-Plus 4000 IU (1ml/vial)  (X)H0027 ED(2)     
2035,RANI01,RANIdine Inj 50 mg/2 ml                           
2037,ONSI02,Onsia Inj 8 mg                                    
2039,DERE04,*(d) Dermacombin Cream 5 g
2047,POTL_3,Potassium Cl.(conc) 30 ml    Mixt                 
2053,METEX5,Methylsalicylate Oint () 30 gm             
2057,LAMT05,Lamivudine Tab 150 mg (LAMIVIR)                   
2077,XANT07,Xandase Tab 300mg                                 
2107,AMBT01,Ambufen Tab 400 mg                                
2111,TRCI01,TRCS Verorab Inj 0.5 ml                           
2117,FLUT01,Fludan Cap 5 mg                                   
2119,NSSI03,NSS 250 ml  (I.V.)                                
2125,VITT05,*(d) Vitamin B6 Tab 10 mg
2129,PYRT01,*(d) Pyrazinamide Tab 500 mg
2133,ETHT01,*(d) Ethambutol 400 mg Tab (TOBUTOL)
2137,RIFT02,*(d) Rifampicin Tab 450 mg
2141,ISOT01,*(d) Isoniazid Tab 100 mg
2145,BAST01,*(d) Basen Tab 0.2 mg
2148,CANE02,*(d) Canesten Cream 20 g                  
2150,DERE04,*(d) Dermacombin Cream 5 g                
2164,CART08,Caraten-25 Tab                                    
2189,TUSLX1,Tussis Mixt 120 ml                                
2192,MONT05,Montek Tab 10 mg                                  
2204,KEMI01,Kemocarb Inj 150 mg/15 ml (X)K0001  *Chemo* *HAD* 
2212,DIST03,Disol Tab 8 mg                                    
2216,MEDT02,Meditic Tab ( Uretic)                          
2218,NAVT01,Navamin Tab 50 mg                                 
2221,XYLE02,Xylocaine 10% Spray 50 ml                         
2222,MAGT04,MAG-C Tab 500 mg (Vitamin C)                      
2231,BONT04,Bon-One Tab 0.5 mcg                               
2235,HEPL02,Hepalac Syrup 100 ml                              
2237,CALT09,CALTAB-835 Tab                                    
2239,AMLT01,AmLOpine   Tab     5   mg                 
2248,METT01,Metformin Tab 850 mg
2263,LANT01,Digoxin Tab 0.25 mg   *HAD*                       
2288,MONT03,Monolin  60 SR CAP.                               
2320,MUCL03,Mucotic Sachet 200 mg                     
2328,HALT08,Halomed Tab 0.5 mg                                
2329,GANT01,Ganaton Tab 50 mg                                 
2361,NUET02,Nuelin SR Tab 200 mg                              
2364,ROST01,Clindamycin Cap 300 mg ( Rosil Cap )              
2385,MIXI03,*(d) Mixtard (penfill) 30 HM 300u/3 ml (30/70)
2389,MXCHDSG201,Accu Check [Performa 25 strips]                   
2407,XATT02,Xatral XL Tab 10 mg                               
2427,SYR020,*(d) Syringe 20 ml disposable
2467,TRAT10,Trajenta DUO Tab (2.5/1000)                       
2469,ONST02,Onsia   TAB   8   MG                              
2483,NATE01,Natear Eye Drops 0.3% 10 ml                       
2496,ZINT02,*(d) Zincaps 110 mg
2500,BCOT01,*(d) B CO-ED (Vitamin B Complex)
2514,THYT02,Thyrosit Tab 50 mcg                               
2522,MERT03,Mertigo Tab 12 mg                                 
2525,NAPT01,Naprosian Tab 250 mg                              
2555,GLUT03,Glucobay Tab 50 mg                                
2566,SKIEX1,SKIN Cream 120 g                                  
2573,MYFT02,Myfortic Tab 360 mg                       
2575,DEPI04,*(d) Depo-Progesta Inj 150 mg/3 ml
2577,SERE07,**Seretide Evohaler    25/125                     
2578,VENE03,**Ventolin   EVOHALER   200 doses                 
2588,ULST02,Ulsanic Tab 1 g                                   
2609,ROST03,*(a) Rosuvastatin 10 mg TAB
2611,DEPI04,*(d) Depo-Progesta Inj 150 mg/3 ml        
2635,NOV001,Novofine Needle 30G                               
2640,NEUT05,NeuroMET Tab    500  mcg                          
2692,AMOT08,Amoxicillin Cap 500 mg  (GPO MOX)                 
2737,ZYNE03,Zyno Cream 0.1% -15 GM                            
2740,MAGLX2,Magic Mouth Wash 30 ml.                           
2792,SIXT01,Sixime Cap 100 mg                                 
2796,SIAT01,*(d) Siamformet Tab 500 mg ()    
2824,HISE01,Hista-Oph Eye Drops10 ml                          
2825,AMAT03,Amanda Cap 50 mg                                  
2827,MAFT04,Maforan Tab 2 mg *HAD*                       
2844,CIPT04,Ciproxyl Tab 500 mg                               
2853,KETE01,Fungiderm-K Cream  5  gm  (Ketoconazol)           
2856,PLAE01,Plaivana Cream 35 gm
2896,NORT17,Nortyline Tab 25 mg                               
2910,FLET01,Flexital CR Tab 400 mg                            
2943,TETI01,Tetanus Toxoid 0.5 ml                             
2945,ADEI01,*(d) Adenocor IV 6 mg/2 ml
2950,BAL001,*(d) Syringe Ball () No.5
2951,HYDEX2,*(d) Hydrogen Peroxide 3% 450 ml
2960,FENT02,Fenafex Tab 60 mg                                 
2972,DAFT03,Dafomin Tab 500 mg                                
3050,BANE02,Capsika-25 Gel 35 g                               
3055,PLAE01,Plaivana Cream 35 gm                      
3058,MUCL03,Mucotic Sachet 200 mg                             
3076,NUTL02,Nutren Optimum 400 g                              
3146,MEDT03,Multivitamin Tab ( Medicvit )                     
3152,THIT04,Thiamin-100 Tab 100 mg ( Vit. B1 Tab)          
3156,METT01,Metformin Tab 850 mg                      
3175,COSE01,*(d) Cosopt Eye Drops 5 ml
3176,UREEX2,Urea Cream 10% 30 g (  )                      
3188,KANE01,Kanolone 0.1% Lotion 60 ml                        
3204,UREEX2,Urea Cream 10% 30 g (  )
3207,MAFT04,Maforan Tab 2 mg *HAD* 
3210,MEDT02,*(d) Meditic Tab ( Uretic)             
3213,MAFT01,*(d) Maforan Tab 1mg *HAD*
3219,KANE01,Kanolone 0.1% Lotion 60 ml
3234,PRET06,*(d) Prenolol Tab 50 mg                   
3237,MAFT01,*(d) Maforan Tab 1mg *HAD*                
3240,SYME02,Symbicort (80/4.5)  60 doses Turbuhaler           
3242,PRET06,Prenolol Tab 50 mg
3247,MEDT02,Meditic Tab ( Uretic)
3272,ESPT01,Espenal Tab 50 mg                                 
